period: 2000 , current state: 1
period: 3000 , current state: 1
period: 2000 , current state: 2
period: 3000 , current state: 2
period: 2000 , current state: 3
period: 2000 , current state: 4
period: 3000 , current state: 3
period: 2000 , current state: 5
period: 3000 , current state: 4
period: 2000 , current state: 6
period: 2000 , current state: 7
period: 3000 , current state: 5
period: 2000 , current state: 8
period: 3000 , current state: 6
period: 2000 , current state: 9
period: 2000 , current state: 10
period: 3000 , current state: 7
period: 3000 , current state: 8
period: 3000 , current state: 9
period: 3000 , current state: 10
